Plant Name,Plant Code,State,Sector Name,Prime Movers,Fuel Types
Bakatsias Solar,61527,NC,Electric utility non-cogen,PV,SUN
Baker PV 1,59517,NC,Electric utility non-cogen,PV,SUN
Baker Point,61519,MD,Electric utility non-cogen,PV,SUN
Bakersfield 111,59948,CA,Electric utility non-cogen,PV,SUN
Bakersfield College Solar 01,57655,CA,Commercial non-cogen,PV,SUN
Bakersfield Industrial PV 1,61118,CA,Electric utility non-cogen,PV,SUN
Bakersfield PV 1,61117,CA,Electric utility non-cogen,PV,SUN
Baldock Solar Highway,57882,OR,Electric utility,PV,SUN
Ballston Solar LLC,62170,OR,Electric utility non-cogen,PV,SUN
Balm Solar,61654,FL,Electric utility,PV,SUN
Balsam,59828,NC,Electric utility non-cogen,PV,SUN
"Baltimore Church Solar, LLC",60144,NC,Electric utility non-cogen,PV,SUN
Baltimore City B,60664,MD,Electric utility non-cogen,PV,SUN
Baltimore City D,60665,MD,Electric utility non-cogen,PV,SUN
Baltimore City F,60666,MD,Electric utility non-cogen,PV,SUN
Baltimore City G,60667,MD,Electric utility non-cogen,PV,SUN
Bandera Electric Coop PV,61205,TX,Electric utility non-cogen,PV,SUN
Bar D,61886,CO,Electric utility non-cogen,PV,SUN
Barefoot Bay Solar Energy Center,61051,FL,Electric utility,PV,SUN
Barilla Solar,58710,TX,Electric utility non-cogen,PV,SUN
"Barker Solar, LLC",61194,NC,Electric utility non-cogen,PV,SUN
Barneveld Solar,63279,NY,Electric utility non-cogen,PV,SUN
"Barnhill Road Solar, LLC",60782,NC,Electric utility non-cogen,PV,SUN
Barnstable Landfill,59081,MA,Electric utility non-cogen,PV,SUN
Barnwell Solar,61327,SC,Electric utility non-cogen,PV,SUN
Barone CSG,62138,MN,Electric utility non-cogen,PV,SUN
Barre II Solar Project,59766,MA,Electric utility non-cogen,PV,SUN
Barre Solar III LLC,62363,MA,Electric utility non-cogen,PV,SUN
Barrett Farm Solar - Phase I,61728,CT,Electric utility non-cogen,PV,SUN
Barrett PV,61342,MA,Electric utility non-cogen,PV,SUN
"Barrette Outdoor Living, Inc.",63298,NJ,Industrial non-cogen,PV,SUN
Barton Solar Farm,59741,VT,Electric utility non-cogen,PV,SUN
Bartow Solar Energy LLC,61879,FL,Electric utility non-cogen,PV,SUN
"Bashaw Solar CSG 1, LLC",60866,MA,Electric utility non-cogen,PV,SUN
Battle Creek Solar,63212,VT,Electric utility non-cogen,PV,SUN
Battleboro Farm,60369,NC,Electric utility non-cogen,PV,SUN
Battleground,59038,NC,Electric utility non-cogen,PV,SUN
Bay Branch Solar,60601,NC,Electric utility non-cogen,PV,SUN
Bayboro Solar Farm,61528,NC,Electric utility non-cogen,PV,SUN
"Bayshore Solar A, LLC",60481,CA,Electric utility non-cogen,PV,SUN
"Bayshore Solar B, LLC",60474,CA,Electric utility non-cogen,PV,SUN
"Bayshore Solar C, LLC",60475,CA,Electric utility non-cogen,PV,SUN
Bayville Central Facility,54569,NJ,Commercial cogen,"IC,PV","NG,DFO,OBG,SUN"
"Bd of Educ of Queen Anne's Cnty, Cnty HS",62074,MD,Electric utility non-cogen,PV,SUN
Beacon Solar Plant Site 2,59309,CA,Electric utility non-cogen,PV,SUN
Beacon Solar Plant Site 5,59308,CA,Electric utility non-cogen,PV,SUN
Bear Creek Solar,58508,CA,Electric utility non-cogen,PV,SUN
Bear Creek Solar,61351,NC,Electric utility non-cogen,PV,SUN
Bear Creek Solar Center,61281,OR,Electric utility non-cogen,PV,SUN
BearPond Solar Center LLC,58955,NC,Electric utility non-cogen,PV,SUN
Bearford Farm Solar Project,59567,NC,Electric utility non-cogen,PV,SUN
Bearford Solar II,59488,NC,Electric utility non-cogen,PV,SUN
"Beaufort Solar, LLC",59887,NC,Electric utility non-cogen,PV,SUN
Beaver Run,60805,NJ,Electric utility non-cogen,PV,SUN
Beaver Solar LLC,59546,PA,Electric utility non-cogen,PV,SUN
Becker Solar 2 CSG,62084,MN,Electric utility non-cogen,PV,SUN
Becker Solar 3 CSG,62085,MN,Electric utility non-cogen,PV,SUN
Becker Solar 4 CSG,62086,MN,Electric utility non-cogen,PV,SUN
Becker Solar 5 CSG,62087,MN,Electric utility non-cogen,PV,SUN
Becker Solar CSG,62040,MN,Electric utility non-cogen,PV,SUN
Becton Canaan,63262,CT,Electric utility non-cogen,PV,SUN
Bed Bath & Beyond DC Port Reading NJ,58096,NJ,Commercial non-cogen,PV,SUN
Bedford Solar,61126,VA,Electric utility non-cogen,PV,SUN
Beetle Solar,59511,NC,Electric utility non-cogen,PV,SUN
Belchertown,60653,MA,Electric utility non-cogen,PV,SUN
Belchertown Renewables Community Solar,61295,MA,Electric utility non-cogen,PV,SUN
Bell Bay Solar Farm,62395,SC,Electric utility,PV,SUN
Bellevue Solar Project,57372,OR,Electric utility non-cogen,PV,SUN
Bellingham PV,58403,MA,Electric utility non-cogen,PV,SUN
Belmont,59172,IN,Electric utility non-cogen,PV,SUN
Belwood Farm,58314,NC,Electric utility non-cogen,PV,SUN
Benjamin Moore & Co. Solar,57733,NJ,Commercial non-cogen,PV,SUN
Bennett,63410,NY,Electric utility non-cogen,PV,SUN
Benthall Bridge PV 1,59515,NC,Electric utility non-cogen,PV,SUN
BentonSun LLC,60695,MN,Electric utility non-cogen,PV,SUN
"Bergenmand Solar Partners, LLC Mahwah",63200,NJ,Electric utility non-cogen,PV,SUN
Beringer,58890,CA,Electric utility non-cogen,PV,SUN
Berkley East Solar LLC,58871,MA,Electric utility non-cogen,PV,SUN
Berkshire 1,58624,MA,Electric utility non-cogen,PV,SUN
Bernards Solar,60437,NJ,Electric utility non-cogen,PV,SUN
Bernhardt Furniture Solar Farm,60881,NC,Electric utility non-cogen,PV,SUN
Berry Plastics Solar,59097,NJ,Electric utility non-cogen,PV,SUN
Beryl Solar Plant,58598,UT,Electric utility non-cogen,PV,SUN
Betcher Community Solar Garden,61671,MN,Electric utility non-cogen,PV,SUN
"Bethel Price Solar, LLC",58843,NC,Electric utility non-cogen,PV,SUN
Bethel Solar,59173,NC,Electric utility non-cogen,PV,SUN
Bethlehem - East,60477,NY,Electric utility non-cogen,PV,SUN
Bethlehem - West,60478,NY,Electric utility non-cogen,PV,SUN
Bethlehem Solar,63079,NY,Electric utility non-cogen,PV,SUN
Beulaville,59039,NC,Electric utility non-cogen,PV,SUN
Beverly,59242,MA,Electric utility non-cogen,PV,SUN
Bibb Jones,62880,GA,Electric utility non-cogen,PV,SUN
Big Bend,645,FL,Electric utility,"GT,PV,ST","NG,BIT,SUN"
Big George PV CSG,61429,MA,Electric utility non-cogen,PV,SUN
Big Lake Holdco Solar CSG,60836,MN,Electric utility non-cogen,PV,SUN
Big Lake Project CSG,61817,MN,Electric utility non-cogen,PV,SUN
Biltmore Solar Fields,61271,NC,Electric utility non-cogen,PV,SUN
Bird Machine Solar Farm,60854,MA,Electric utility non-cogen,PV,SUN
Biscoe Solar LLC,58667,NC,Electric utility non-cogen,PV,SUN
Bison Solar LLC,60351,CO,Electric utility non-cogen,PV,SUN
"Bizzell Church Solar 1, LLC",60401,NC,Electric utility non-cogen,PV,SUN
Bizzell Church Solar 2,61158,NC,Electric utility non-cogen,PV,SUN
Black Cap Solar Plant,58150,OR,Electric utility,PV,SUN
"Black Eagle Solar, LLC",61336,MT,Electric utility non-cogen,PV,SUN
Black Mountain Solar LLC,58042,AZ,Electric utility non-cogen,PV,SUN
BlackRock-Matrix,57727,NJ,Electric utility,PV,SUN
Blacktip Solar,61939,SC,Electric utility non-cogen,PV,SUN
Blackwell Solar Park,59524,CA,Electric utility non-cogen,PV,SUN
Bladen Solar,61561,NC,Electric utility non-cogen,PV,SUN
Bladen Solar Farm,60296,NC,Electric utility non-cogen,PV,SUN
Bladenboro Farm,58868,NC,Electric utility non-cogen,PV,SUN
Bladenboro Solar 2,62101,NC,Electric utility non-cogen,PV,SUN
"Bladenboro Solar, LLC",61283,NC,Electric utility non-cogen,PV,SUN
Bloom Solar,61940,SC,Electric utility non-cogen,PV,SUN
Bloomfield Municipal Utilities Solar,62607,IA,Electric utility non-cogen,PV,SUN
Bloomington Solar I,62805,UT,Electric utility non-cogen,PV,SUN
Blue Cypress Solar Energy Center,61029,FL,Electric utility,PV,SUN
Blue Heron Solar,62631,FL,Electric utility,PV,SUN
Blue Lake Solar,60632,MN,Electric utility non-cogen,PV,SUN
Blue Shld Of Cal- El Dorado Hlls Mtr B,62077,CA,Electric utility non-cogen,PV,SUN
Blue Sky One,58689,NM,Electric utility non-cogen,PV,SUN
Blue Wing Solar Energy Generation,57197,TX,Electric utility non-cogen,PV,SUN
BlueWave Capital - Grafton (SREC II),59752,MA,Electric utility non-cogen,PV,SUN
Bluebell Solar,60789,TX,Electric utility non-cogen,PV,SUN
Blueberry One,58605,NC,Electric utility non-cogen,PV,SUN
Bluefin Origination 1,63323,MD,Electric utility non-cogen,PV,SUN
Bluewater CDEC 1,62994,NM,Electric utility non-cogen,PV,SUN
Bly Solar Center,62272,OR,Electric utility non-cogen,PV,SUN
Blydenburgh Solar Project,61900,NY,Electric utility non-cogen,PV,SUN
"Blythe Solar 110, LLC",60093,CA,Electric utility non-cogen,PV,SUN
"Blythe Solar II, LLC",60092,CA,Electric utility non-cogen,PV,SUN
Boas Rd #1 Community Solar Farm,62530,NY,Electric utility non-cogen,PV,SUN
Boas Rd #2 Community Solar Farm,62531,NY,Electric utility non-cogen,PV,SUN
Boas Rd #3 Community Solar Farm,62532,NY,Electric utility non-cogen,PV,SUN
Boaz Farm Solar,61157,NC,Electric utility non-cogen,PV,SUN
Bolduan CSG,62194,MN,Electric utility non-cogen,PV,SUN
Bolthouse S&P and Rowen Farms Solar,56862,CA,Electric utility non-cogen,PV,SUN
Bolton Farm,58349,NC,Electric utility non-cogen,PV,SUN
Bolton PV,59014,MA,Electric utility non-cogen,PV,SUN
Bond Solar,61941,SC,Electric utility non-cogen,PV,SUN
Bondi Solar,61352,NC,Electric utility non-cogen,PV,SUN
Bonefish Solar,63461,SC,Electric utility non-cogen,PV,SUN
Bonnie Mine Solar,61655,FL,Electric utility,PV,SUN
Bonnybrooke PV,60413,AZ,Electric utility non-cogen,PV,SUN
Bordentown Solar,60734,NJ,Electric utility non-cogen,PV,SUN
Boring Solar LLC,62169,OR,Electric utility non-cogen,PV,SUN
Boseman Solar Center LLC,58807,NC,Electric utility non-cogen,PV,SUN
Boston Scientific Solar,57992,MA,Electric utility non-cogen,PV,SUN
"Boulder Solar II, LLC",60885,NV,Electric utility non-cogen,PV,SUN
"Boulder Solar Power, LLC",60352,NV,Electric utility non-cogen,PV,SUN
Bourne (MA) - Holliston I,59750,MA,Electric utility non-cogen,PV,SUN
Bovine,61867,TX,Electric utility non-cogen,PV,SUN
Bowie State Solar,61915,MD,Electric utility non-cogen,PV,SUN
Bradley PV1,59154,NC,Electric utility non-cogen,PV,SUN
Braintree Landfill Solar,61538,MA,Electric utility non-cogen,PV,SUN
Braley Road 2,58680,MA,Electric utility non-cogen,PV,SUN
Brantley Solar,60623,NC,Electric utility non-cogen,PV,SUN
Brass Mill Center,63288,CT,Commercial non-cogen,PV,SUN
Breesport Road Community Solar Farm,62157,NY,Electric utility non-cogen,PV,SUN
Brentwood Solar,58785,NY,Electric utility non-cogen,PV,SUN
Brewster Landfill,59075,MA,Electric utility non-cogen,PV,SUN
Brickyard Solar,60733,NJ,Electric utility non-cogen,PV,SUN
Bridgeport Disposal Solar Farm,59166,NJ,Commercial non-cogen,PV,SUN
Bridgewater Solar CSG,60730,MA,Electric utility non-cogen,PV,SUN
Brighton PV Solar Plant,59144,CO,Electric utility non-cogen,PV,SUN
